scheme,Q,Q_df,Q_pvalue,I_squared_pct,mean_pairwise_r,within_cluster_r_mean,between_cluster_r
raw,52796.75361568108,19,0.0,99.96401293886684,0.2639116479097439,0.3966666666666667,0.1
minmax,10055.630278629953,19,0.0,99.8110511278405,0.26391164790974386,0.3966666666666667,0.1
zscore,1.1502949824955462e-27,19,1.0,0.0,0.26391164790974386,0.3966666666666667,0.1
rank,1.0371501596311983e-28,19,1.0,0.0,0.2616076278103813,0.35000000000000003,0.1
