framework,raw,minmax,zscore,rank
ARES,1,1,1,1
BERTScore,3,3,3,3
DeepEval,2,2,2,2
FaithJudge,2,2,2,2
G-Eval,2,2,2,2
GaRAGe,3,3,3,3
HALT-RAG,3,3,3,3
HSAD,1,1,1,1
KG-RAG,1,1,1,1
LRP4RAG,1,1,1,1
LUMINA,1,1,1,1
LettuceDetect,1,1,1,1
MetaRAG,1,1,1,1
QAFactEval,3,3,3,3
RAGAS,2,2,2,2
RAGChecker,3,3,3,3
ReDeEP,1,1,1,1
SIRG,1,1,1,1
TRACe,1,1,1,1
UniEval,1,1,1,1
