k,silhouette,Wk,gap,gap_se
2,0.20454675910166822,104.01832307294094,0.6101967570953581,0.12835463320681836
3,0.21671205793242784,65.37677684807835,0.6349957784903371,0.10244473123345763
4,0.22396284087408125,53.14120817132398,0.48199196779197173,0.10070576685856361
5,0.23014002608167358,48.947102663757136,0.30648531788414335,0.08533562439762397
6,0.18651646478128503,29.76348475690713,0.5355461003507194,0.07954095368538086
7,0.18227683294172278,28.074765826724025,0.3017189813240626,0.048479808996227336
8,0.18062908873405734,26.447613548906652,0.15587472512160128,0.04751984722213979
